location,logical_location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Jebel Shams,Al Hajar Mountains,Oman,Jebel Shams Summit Trail,23.17,57.25,Hiking,"Oman's highest peak, offering challenging multi-day treks and stunning canyon views.",$$,7,"hiking, trekking, mountains, canyon",https://pixabay.com/get/g194183f75791d8ac940f9b2b16e0c4bc2e364d4267bae0fa8258fcb6a16ef6cdebec0be4b3db4df63d79f639d0be06a7e8d67cca0dad5fa36d6dec19f63d33c6_640.jpg
Wadi Rum,Southern Jordan,Jordan,Jebel Rum,29.575,35.42,Climbing,Vast desert landscape with towering sandstone formations ideal for rock climbing.,$$$,8,"climbing, rock climbing, desert, adventure",https://pixabay.com/get/g58aa34019c9494681fc1187f8aa97a54595f7564ba56a076447d359bc5d3fccafc228f2caa1faca0416617da0e9e9da4d4294d94a04caf91bf8bc9477ad3e5b1_640.jpg
Dana Biosphere Reserve,Tafila Governorate,Jordan,Wadi Ghuweir Trail,30.72,35.63,Hiking,"Diverse ecosystems, from Mediterranean scrub to juniper woods, with challenging hiking trails.",$$,6,"hiking, nature, biodiversity, reserve",https://pixabay.com/get/g60b55340d2d12bc08a8a08f40671fd35bc5e4903f9f0c4c3165d1df0af93954f04d044785014de170e06fde0dc54b82000e816d2bce46fd3db7a5e7bd63cd552_640.jpg
Mount Sinai,Sinai Peninsula,Egypt,Mount Sinai Summit,28.055,33.987,Hiking,"Iconic mountain with biblical significance, offering sunrise hikes and panoramic views.",$$,9,"hiking, religious site, mountains, sunrise",https://pixabay.com/get/g9fec55af95c1247eaa1e6765d9a49e8499841eeef0816e76ca7d27b1d98463a9cab6e2ecaff199f0bc333d022799ce05ec38991b4d98d3c1ec5fdf4da68dabd0_640.jpg
Jebel Jais,Ras Al Khaimah,United Arab Emirates,Jais Flight Zipline,25.948,56.17,Zip-lining,"Home to the world's longest zipline, soaring over dramatic mountain landscapes.",$$$,8,"ziplining, adventure, mountains, adrenaline",https://pixabay.com/get/gce85543854a212b3a7dbc377ed814d4bfff559b0e51104f4b1ac3bcf7a4fd613f6da58beafcfc413e12545ffcc9ddf4f7500b851d81e90b09096b50fcafacec0_640.jpg
El Fayoum Oasis,Fayoum Governorate,Egypt,Sand Dunes of El Fayoum,29.5,30.75,Sandboarding,Vast desert dunes offering thrilling sandboarding adventures.,$$,7,"sandboarding, desert, adventure, dunes",https://pixabay.com/get/g328f8a8e2a6e38ae46664fd3306d1a4e2854acc7f84518730e2b9fd791942a3728d3e90c135a56267e4c71c25a2f39caa7529323291c7e28979c01cf68371ba9_640.jpg
Aqaba,Red Sea Coast,Jordan,Red Sea Reefs,29.5333,35.0,Diving,"Vibrant coral reefs and diverse marine life in the Red Sea, perfect for diving.",$$,8,"diving, snorkeling, marine life, Red Sea",https://pixabay.com/get/g70b453d44707405c4d5ee55e8409768ca8fac455bb14d30d94109c81bbf3206310b1b4861762cb46ec8149e5d7a0db4f165662b86fed79cce040076565a23989_640.jpg
Petra,Ma'an Governorate,Jordan,High Place of Sacrifice Trail,30.3285,35.4444,Hiking,Ancient Nabatean city with numerous hiking trails offering historical and scenic views.,$$,10,"hiking, ancient city, archaeology, history",https://pixabay.com/get/g96e0194b1d588b106a67533ba9f9cd680af607bd66fb62c0d077757144f44d724d2aaf4fee30f833f42795065ee67e4d4f3bb7b3aacc3ff006ee9c8ef755551c_640.jpg
Shouf Biosphere Reserve,Mount Lebanon Governorate,Lebanon,Ancient Cedar Forests,33.75,35.75,Hiking,Explore ancient cedar forests and diverse ecosystems with numerous hiking trails.,$$,6,"hiking, nature, forests, Lebanon Mountain Trail",https://pixabay.com/get/g19d2b53e79c7381c65d8e59c793938479fb7cef8077a1ff7340626c1decefc3bd5fc809fff9472d05906085bd3169d721b0f140ca5e6c5f13fd4913b88bff5ac_640.jpg
Mount Hermon,Golan Heights,Israel,Mount Hermon Ski Resort,33.2778,35.7689,Skiing,Israel's only ski resort offering winter sports and stunning mountain views.,$$$,7,"skiing, snowboarding, winter sports, mountains",https://pixabay.com/get/g2d874f7f8e57a856a520821e294fd2933bb39ae98833db9f65065b16594ce6ee08ba988e9bddea002204969fd36f57c298367b12aaf0ed97b9aa6be6514fb2f7_640.jpg
Oukaïmeden,Atlas Mountains,Morocco,Oukaïmeden Ski Resort,31.2052,-7.8623,Skiing and snowboarding,"Highest ski resort in Africa, offering slopes from January to April.",$$,8,"skiing,snowboarding,mountains,atlas",https://pixabay.com/get/g1eb2f1ff00d2397f8cc945a930c965905e4cb9b8d3788d349d4f6a70eb6038b38095327367a97d34cf194132b9a711556a9a77348800348baa443f6ddc1e1be9_640.jpg
Chrea National Park,Tell Atlas Mountains,Algeria,Chrea Ski Station,36.4861,2.8464,Skiing and snowboarding on natural snow,"One of Africa's few natural snow ski areas, near Algiers.",$$,7,"skiing,snowboarding,national park,natural snow",https://pixabay.com/get/gc59f0cf8945e4325e1058c672fdfeed5a7c32c542873261ba785406007d3c88977cb926f713683233d79cd3e271780ad4d6743a89f89f48a73e2edc9bbadc3a0_640.jpg
Mount Toubkal National Park,Atlas Mountains,Morocco,Mount Toubkal (winter climb),31.0533,-7.9413,Winter trekking and mountaineering,"Highest peak in North Africa, offering challenging winter climbs.",$$$,8,"trekking,mountaineering,winter climb,atlas",https://pixabay.com/get/gc7e3e3471f849379531e7a7c40ec562308f963c3e66b768d709717705010f3a8de3a4e55367b34ab4bfef8ae28947e6e83bda4783907df0ee735ad458457958a_640.jpg
Ifrane,Middle Atlas Mountains,Morocco,Michlifen Ski Station,33.5333,-5.15,Skiing and snowboarding,Known for its ski resorts and a popular year-round getaway.,$$,6,"skiing,snowboarding,middle atlas,resort",https://pixabay.com/get/g93db96399479667d4a9255d35b84d6aae8d22d0aa62f8a86d7cf89cb19ee0a2551f7199954efe6152464d481a52c344b_640.jpg
Jbel Hebri,Anti-Atlas Mountains,Morocco,Jbel Hebri Ski Resort,29.5377,-9.0374,Skiing for advanced skiers,A small ski resort offering one run for advanced skiers.,$,5,"skiing,advanced,anti-atlas",https://pixabay.com/get/gcc0836b2227aaae11eb37196d8dc6492f39bdfd21f80e2317016fb8dca5bb49e0a82039636745e4dfaf15e412a90445859525990c398cb2a7b2352c06ab24bed_640.jpg
Djebel Bou Iblane,Middle Atlas Mountains,Morocco,Djebel Bou Iblane Ski Area,33.5167,-5.4167,Skiing,"Offers beginner and intermediate runs, currently closed for renovations.",$$,4,"skiing,middle atlas,renovation",https://pixabay.com/get/g9099d0a3bb3c8b1eec7b73d62f45ab4fd6aa4eb02c01c712aad8cf183ccdbd8f2bd389218b0ea98fc850faf49a84dcb92fd5bb43f06f62ab835d9b9a14d4a22a_640.jpg
Ain Draham,Kroumirie Mountains,Tunisia,Ain Draham ski area,36.5722,8.7375,Skiing and winter activities,"Known for snowy plains and peaks in winter, offering a unique scenery.",$$,5,"skiing,winter,mountains,tunisia",https://pixabay.com/get/g5f3ccf2d2da6a5837a3bf030c823ef0b22c947e723ce5f44429b6ab22c1b3c514dde777b20c04ecdae1d90edff6371dd2b7c0e680141d04b254726a9e020d07a_640.jpg
Tikjda,Djurdjura Mountains,Algeria,Tikjda Ski Resort,36.4064,4.0319,Skiing and snowboarding,An Algerian ski resort located in the Djurdjura mountains.,$$,6,"skiing,snowboarding,djurdjura,resort",https://pixabay.com/get/gd464db5297c23687ca2e6edc0c384ff2c5d6e07705de44f2d902a0a1bd0244249d34ea7906589dae02159b51e1051d709b346e92785c3ba396578d206feac870_640.jpg
Algiers,Algeria,Algeria,Panari Hotel Ice Rink (nearest major city),36.7754,3.0421,Ice Skating,"While not a dedicated winter sports resort, Algiers is near Chrea and has ice skating facilities.",$$,5,"ice skating,city,algeria",https://pixabay.com/get/gcb35c7e4bf37f82ad1c6f58852044eb7ed1cde9394710ec6a59efaf01ce3e2f25bd56db12db6c0528088aa7f1948ee0cbd374275a0ef60f0c475d236403f595b_640.jpg
Rabat,Morocco,Morocco,Shopping mall ice rink,34.0209,-6.8416,Ice Skating and Ice Hockey,Rabat has ice hockey clubs using a rink in a shopping mall.,$$,5,"ice skating,ice hockey,city,morocco",https://pixabay.com/get/gd7c9a124b56632e758894eb6f8f5cfe8f337a2dcb75feb770eb8bb79f8168b6e77436bed9f31e52f4ec3836d5a81bb85181c54cadec0e4de28dee80d48f4c6fd_640.jpg
Sedona,Arizona,USA,Mii amo,34.8691,-111.7605,"Spa treatments, yoga, meditation, hiking",World-class destination spa known for personalized wellness journeys and vortex energy.,$$$$,9,"spa,yoga,meditation,hiking,vortex energy",https://pixabay.com/get/g6d5ae3d798c303b7f849b90305be10e6ea465034dd2f81a4512b15515d2ef6f3a1249e5765efdcd5a1021a636b71bfda_640.jpg
Banff,Alberta,Canada,Banff Upper Hot Springs,51.4928,-115.5592,Soaking in natural hot springs with mountain views,Natural hot springs offering relaxation and rejuvenation amidst the Canadian Rockies.,$$,8,"hot springs,relaxation,mountains,scenic",https://pixabay.com/get/g321aa3d809f180e4c9a17a73f8add8b4997d1738b9957e9045b5010aa5ecd58187a2f6112f7fbed5211d515f819e8a1e04aaee1e0c75f7e237213901099c8afb_640.jpg
Ojai,California,USA,Ojai Valley Inn & Spa,34.4018,-119.2494,"Yoga, spa treatments, meditation, golf",Luxurious retreat in a serene valley known for its spiritual energy and wellness offerings.,$$$$,8,"yoga,spa,meditation,luxury,resort",https://pixabay.com/get/g19167b5235f41a69fc676fba1971be1084a3a2d6345a4dbb654b4e3696df3c9e1ae4cb27d7048182e2f83d7089668ec31007e9f02d0be0e5037ef9727c1f1cf6_640.jpg
Santa Fe,New Mexico,USA,Ojo Caliente Mineral Springs Resort & Spa,36.1242,-105.9847,"Soaking in mineral hot springs, yoga, spa","One of the oldest health spas in the US, featuring unique mineral-rich hot springs.",$$$,7,"hot springs,spa,yoga,historic",https://pixabay.com/get/gaddb329c84d5d2477515ce838636f4cb44ba0b6352b81ab66501bbd60dc137f15bf5a1b68cac6d2d93417e9398bd0337cdd59b8e52a120943f607d3281ba9b42_640.jpg
Mérida,Yucatán,Mexico,Hacienda Xcanatun by Angsana,21.0724,-89.6375,"Spa treatments, yoga, relaxation",Historic hacienda offering Asian-inspired healing at its Angsana Spa.,$$$,7,"spa,hacienda,colonial,wellness",https://pixabay.com/get/g822eb2ef755bbaa685f142d27568f8e3ea6eb55bdf20ff5389434b6be741087ea117ef92c68407f249c551f1f68f6f176eac2fe7cf8b60f19447eeaf3123a21f_640.jpg
Quebec City,Quebec,Canada,Strøm Nordic Spa - Old Quebec,46.8139,-71.208,"Thermal spa experience, relaxation",Urban Nordic spa offering a complete thermal experience with St. Lawrence River views.,$$$,8,"spa,nordic,thermal,urban,scenic",https://pixabay.com/get/g434243850f980eb36d17d9a5c4118b62e28ad94e66af71be3b1416c2ac27ab6f8fc70b6ea54bd8de5b266b27ba4e9150ebc25ff4f578b29d94e14da4160bf84f_640.jpg
Pagosa Springs,Colorado,USA,The Springs Resort & Spa,37.2642,-107.0128,"Soaking in hot springs, yoga, wellness activities",Resort with over 50 hot spring pools fed by the deepest geothermal spring on Earth.,$$$,8,"hot springs,spa,resort,wellness",https://pixabay.com/get/g016e5b4ae7535410bddf67d114b78f8e0cfe0d3dc0fa67f0b617af25c3229369182f4def1d1b730849ab8973b78067f1ae7a66f49882bb0d51cc57c733d791a5_640.jpg
Sonoma,California,USA,Ratna Ling Retreat Center,38.4678,-122.9834,"Yoga, meditation, relaxation in nature",Transformative yoga retreats set amidst redwoods and rolling hills.,$$$,6,"yoga,retreat,meditation,nature,redwoods",https://pixabay.com/get/ge90003a280fec7d882e364b2f6cb8abedbd470e2c81968ecd240372bdc46959055d210a36dfa63f802fc8b7c97d145e83a07a9b6a3a4752651fdeaac0f8fdac8_640.jpg
Saint-Adèle,Quebec,Canada,Nordic spa in the Laurentian Mountains,45.95,-74.1333,"Nordic spa, thermal ponds, saunas, yoga",Rejuvenating retreat at a Nordic spa nestled in the Laurentian Mountains.,$$$,6,"spa,nordic,thermal,mountains,yoga",https://pixabay.com/get/g87159d3b1f8c3ead9ce86deb672010a1d551b779fc0bbb07cd68db1a7b087fe63e558f026b48f6e53e2ba711d47494fd8b5b3c3f570414c89b68240de3c05bb6_640.jpg
Jalisco,Jalisco,Mexico,Hot Springs Las Pilitas,20.4113,-103.7236,"Soaking in natural thermal waters, hiking",Natural hot springs retreat with therapeutic thermal waters and lush landscapes.,$$,5,"hot springs,natural,wellness,jalisco",https://pixabay.com/get/g43a8ac48d220afc4e379b2b92cdce353677b046a1805197a7d7c8f1b5de2d7e6b56cfef0a36242140fcb558f2090ee76cd09ee47c1106241a706b8903b035b2c_640.jpg
Mexico City,Mexico,Mexico,Roma Norte,19.4117,-99.1672,"Explore trendy bars, speakeasies, and dance clubs.","Bohemian vibe, artistic and creative nightlife.",$$,9,"bars,clubs,live music,speakeasy,bohemian",https://pixabay.com/get/g49d4f1dfa60aba80abfff3e8c8730bedb7590a9caa556a140358822660a5222a753468f80d5c7f1d6bd56b4d7ef853aef0559154aef81ff222508caf13e4e5ae_640.jpg
Panama City,Panama,Panama,Casco Viejo,8.9521,-79.5305,"Rooftop bars, nightclubs, salsa dancing, breweries.",Historic quarter revitalized into a vibrant party district.,$$$,8,"rooftop bar,nightclub,salsa,brewery,historic",https://pixabay.com/get/g558f92787277cbdee4d0d3fa7241b42307d98661dd8de06397b60e0545ce582207721525030a18108f13987c1a15e4f409ba791615e2eb09e3b1de86e6903e2f_640.jpg
San Jose,Costa Rica,Costa Rica,Club Vértigo,9.9362,-84.0874,"Dance to techno, house, and hip-hop with world-class DJs.","Renowned EDM club, a top spot in Central America.",$$,7,"edm,techno,house,dj,nightclub",https://pixabay.com/get/g4caed4a84dd5002bd99552a2da4d46b81b7a0dcf77283bddb507f57045c029ba4c54fc2707b538e29b011f6b8cc4b415707b1b25a87f826cf1156bc083d0a817_640.jpg
Antigua Guatemala,Guatemala,Guatemala,Café No Sé,14.5648,-90.7365,"Live music, mezcal bar, vibrant atmosphere, speakeasy.",Historic institution with a lively backpacker vibe.,$$,6,"live music,mezcal,speakeasy,bar,historic",https://pixabay.com/get/g6622f3bf5a4a81a0ef38fd7b4c918048844833ba793e9262fc3da66092b92b92fada5aa6b6e7c00ab8ddef4b9e0852eaf840416d94e01f5bce48efa80a0da44d_640.jpg
San Juan del Sur,Nicaragua,Nicaragua,The Loose Moose,11.2581,-85.8747,"Pub crawls, party atmosphere, starting point for nightlife.","Popular backpacker bar, known for lively events.",$$,6,"pub crawl,backpacker,bar,party",https://pixabay.com/get/gb22868ac3f38f8c606a98aa01f6df50c11670ef1573222dc83aa6c72c68cb079243aabb4788e66029c3e1f3efad787d0085dac462b09807fd8631daa6ac035d2_640.jpg
San Salvador,El Salvador,El Salvador,Zona Rosa,13.7003,-89.2141,"Bars, discos, live music venues, diverse crowd.",The main entertainment district with international and local flair.,$$,7,"bars,discos, live music, nightlife district",https://pixabay.com/get/gd5a68083e6571381579c813b7befb6d7a024366bd28329b4997913b33ea1ec71720055dd2567adbe786d15ee8ac2b4980f93cf747e23d31b2a994bcc8c008070_640.jpg
Tegucigalpa,Honduras,Honduras,Colonia Palmira / Boulevard Morazán,14.0746,-87.2075,"Rock clubs, lounges, bars with live entertainment.",Hub for Tegucigalpa's diverse nightlife scene.,$$,5,"rock club,lounge,live music,bars",https://pixabay.com/get/g87c33725f6826cf7ddaa4272701d790c0d06ab39781ea7316c29243de105b2e944c80d7eddad2f6bebf94dfec813a624bf4bc5a495fd68042df536742e3bdb96_640.jpg
Jaco,Costa Rica,Costa Rica,Jaco Beachfront Bars & Clubs,9.6125,-94.6406,"Beach clubs, trendy bars, open-air parties.","Epicenter of Costa Rica's nightlife, lively beach town.",$$,7,"beach club,bar,party,nightlife",https://pixabay.com/get/g6a55110c22de9ea0935c0e4822ff95a684fbc60796442164fc5e211dfa6ed13e0b2d7591774ea97e1c3bcc3a24d05acea40a8576b33f964e354b93aa4d0a57dc_640.jpg
Belize City,Belize,Belize,Thirsty Thursdays / Shisha Hookah & Billiard Lounge,17.5001,-88.1757,"DJ sets, hookah, billiards, lively atmosphere.",Popular spots for dancing and socializing in Belize City.,$$,5,"club,lounge,hookah,dj,bar",https://pixabay.com/get/g9c171a7789226672045444d9798c9ee0dc056b3336941766a7a8a5726250ad4481996c8fe444e2813b57c7c8700d14dced5845ed253b9d61367e12d0dd85b34a_640.jpg
Managua,Nicaragua,Nicaragua,El Chaman,12.1358,-86.2515,"Disco club, dancing, local scene.",A popular disco club for a lively night out.,$$,5,"disco,club,dancing,nightlife",https://pixabay.com/get/g469b331f3d5bc2e7bab9320471ea81d0f289474b110258475e3b2fbda12647b82e2341a43176ce07c713bbf0c9663ff883e37e41f627ab2c01cd8950adbd1979_640.jpg
Galapagos Islands,Galapagos Islands,Ecuador,Darwin and Wolf Islands,-0.65,-91.3,Diving and Snorkeling,World-renowned for marine biodiversity and unique wildlife encounters.,$$$$,10,"diving,snorkeling,wildlife,sharks,unique",https://pixabay.com/get/g4417d18d87086c58f4976575fb613bf64c5b08b235d0e37a2721a82b0dd0d221e52705b0acf410e957b79fe309e1bc7e1fa96e448f6d7d88c33f4640c35ad7b7_640.jpg
Fernando de Noronha,Fernando de Noronha Archipelago,Brazil,Cacimba do Padre,-3.8444,-32.4461,Diving and Snorkeling,Pristine volcanic archipelago with clear waters and abundant marine life.,$$$$,9,"diving,snorkeling,clear water,marine life,archipelago",https://pixabay.com/get/gffe76e4b38312832b9fb6ee5027dc37b9d0395210cb35d2dd38b1c13f5f4a72bc67dc965707b103ecd26181c796c8abebcdd95fe70e920eae466a5a1fed00283_640.jpg
Malpelo Island,Pacific Coast,Colombia,Malpelo Island,3.98,-83.25,Diving,Challenging dives with large schools of hammerhead sharks and whale sharks.,$$$$,8,"diving,sharks,challenging,pelagic",https://pixabay.com/get/gcd761c8e25cbc0b7b6aa5796536970cadea9d396c456b5fc5c8ade056dba9122a02b49c7ac244efd59e113cfc73858ecec72ec85c8735f3754538de6da4fe43d_640.jpg
Isla de la Plata,Pacific Coast,Ecuador,Isla de la Plata,-1.92,-80.75,Diving and Snorkeling,Known as the 'poor man's Galapagos' for its rich underwater life.,$$$,6,"diving,snorkeling,marine life,pacific",https://pixabay.com/get/g7b3eeb58c626254675de85cd88ac3ce738c21013fd0e395e12fb912ffc50ea1b0d80a36e6337ff7b1162695da81def76b1d18049808d8ba2eb5c394731dd1109_640.jpg
Los Roques National Park,Los Roques Archipelago,Venezuela,Los Roques National Park,11.83,-66.67,Diving and Snorkeling,"Caribbean paradise with vibrant coral reefs and clear, shallow waters.",$$$,8,"diving,snorkeling,coral reefs,caribbean",https://pixabay.com/get/gc8aece0ba45fd8f0eccb5650622831d021620224e6cbefb046555cc2d34be9599a51a98c459ea6b000547bd90152c6492c81cc2c321584ddeb633e7c0bce2293_640.jpg
Amazon River,Amazon Basin,Brazil,Amazon River,-3.4653,-62.2159,Kayaking,"Explore the world's largest rainforest by kayak, teeming with biodiversity.",$$,9,"kayaking,rainforest,biodiversity,adventure",https://pixabay.com/get/g91f67406e7dd6ff10570bff90b4b9efe6e44e76f3c7b29cbd531a4b46b0f0b454eb233bf029fb5e5f63046b02d89094d4e75a50b83ee813e8861c34b29640ed4_640.jpg
Futaleufú River,Patagonia,Chile,Futaleufú River,-43.85,-71.86,Kayaking,World-class whitewater kayaking through stunning Patagonian landscapes.,$$$,8,"kayaking,whitewater,patagonia,adventure",https://pixabay.com/get/gb09584030a0a0b5c38d9bd924c33984937e32036ccbdbb9af4d7606b533ae3b5052027142fb3bf9e992d00b6ded9b78f56e1517f800890f0475461bc15e678f9_640.jpg
Lake Titicaca,Andes Mountains,Peru/Bolivia,Lake Titicaca,-15.7656,-69.5261,Kayaking,"Highest navigable lake, offering unique cultural experiences and stunning views.",$$,8,"kayaking,high-altitude,cultural,lake",https://pixabay.com/get/g1739ea3878ce557574aed6c0427109aad6137da508d9d9a54166ad29d17e5dc76096364f04785ea9e048f151d9eff077d21c0c175c32a3c11df4e45f513832a5_640.jpg
Iguazu Falls,Paraná Plateau,Argentina/Brazil,Iguazu Falls,-25.6953,-54.4367,River activities (nearby kayaking),Awe-inspiring waterfalls with opportunities for exploring surrounding rivers.,$$,10,"waterfalls,river,nature,scenic",https://pixabay.com/get/ge371f7f9901ba9831dc346edb2ed54626f8a5379c0ebb6a5438cefa3ee36daea4fc6a54841af47a839aa98d949c05ee22649670df21cf58b89f17ef7e8332c3c_640.jpg
Montañita,Santa Elena Province,Ecuador,Montañita Beach,-2.15,-80.74,Surfing,Vibrant surf town with consistent waves for all skill levels and a lively atmosphere.,$$,8,"surfing,beach,vibrant,beginner-friendly",https://pixabay.com/get/ga948cbf162e236bbde562bcb3995faa06ea5a6f5e743cc11a1f4e8f616835511ddaaa536e144e771b92720a05af008d9_640.jpg
Old San Juan,San Juan,Puerto Rico,Castillo San Felipe del Morro,18.47,-66.4882,"Explore the 16th-century fortress, walk along the ramparts, and learn about its military history.",A massive Spanish fortress guarding San Juan Bay for centuries.,$$,9,"fortress,colonial,military history,UNESCO World Heritage",https://pixabay.com/get/g974fa2504554155406be610bf6bc9650cb344cc8db9da9c658bf985f494208bc4a712e27423f20f79950f0d517b868afda7586542a953ce9e67e2f6e4c2a0569_640.jpg
Willemstad,Curacao,Curaçao,Historic Willemstad and its Harbor,12.1,-68.9333,Wander through colorful Dutch colonial architecture and explore the UNESCO-listed inner city and harbor.,Vibrant UNESCO site with Dutch colonial architecture and a historic harbor.,$$,8,"colonial,architecture,UNESCO World Heritage,harbor",https://pixabay.com/get/ga16a77a1813025a85888fc4a1fa311bffb2dbc9b90b8333a1e682e05de3e78237b1a6c3a244476e10d01d798895e465cb6fb076b4d1797747771340a83942675_640.jpg
Bridgetown and its Garrison,Barbados,Barbados,Historic Bridgetown and its Garrison,13.1088,-59.6098,"Discover colonial buildings, forts, and museums in this UNESCO World Heritage site.",UNESCO site showcasing British colonial architecture and military history.,$$,8,"colonial,military history,UNESCO World Heritage,architecture",https://pixabay.com/get/g66b5d73015c38641f15b51792d06b358ac8b3fee9dd58ff9cf4f03d5be5e52ea62421d85708af42c102b6c24e8f44e5611110ccd79282d2f83cb286ca8fec561_640.jpg
