location,country,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Mount Fuji,Japan,35.360635,138.727363,Hike to the summit for breathtaking views or admire from afar.,Japan's tallest and most iconic stratovolcano.,$,10,"natural landmark,volcano,iconic",https://images.unsplash.com/photo-1526481280693-3bfa7568e0f3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxNb3VudCUyMEZ1amklMjBKYXBhbnxlbnwwfHx8fDE3NjcxMDczNjN8MA&ixlib=rb-4.1.0&q=80&w=1080
Kiyomizu-dera Temple,Japan,34.994977,135.772894,Explore the wooden stage and enjoy city views.,Historic Buddhist temple in Kyoto with a famous wooden stage.,$,8,"temple,historical site,cultural",https://images.unsplash.com/photo-1739703927709-2bf048110f40?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxLaXlvbWl6dWRlcmElMjBUZW1wbGUlMjBKYXBhbnxlbnwwfHx8fDE3NjcxMDgwNTN8MA&ixlib=rb-4.1.0&q=80&w=1080
Fushimi Inari-taisha Shrine,Japan,34.967098,135.841095,Walk through thousands of vibrant red torii gates.,A Shinto shrine famous for its thousands of vermilion gates.,$,8,"shrine,religious site,iconic",https://images.unsplash.com/photo-1752338644784-8badb518eefb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxGdXNoaW1pJTIwSW5hcml0YWlzaGElMjBTaHJpbmUlMjBKYXBhbnxlbnwwfHx8fDE3NjcxMDgwNTN8MA&ixlib=rb-4.1.0&q=80&w=1080
Hiroshima Peace Memorial,Japan,34.395061,132.452269,Visit the Peace Memorial Park and Museum to reflect on history.,A memorial dedicated to the victims of the atomic bombing.,$,8,"monument,historical site,peace",https://images.unsplash.com/photo-1719103503045-f250a20f2a16?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxIaXJvc2hpbWElMjBQZWFjZSUyME1lbW9yaWFsJTIwSmFwYW58ZW58MHx8fHwxNzY3MTA4MDU0fDA&ixlib=rb-4.1.0&q=80&w=1080
Himeji Castle,Japan,34.838809,134.703429,Explore Japan's most magnificent original castle.,A stunning example of Japanese castle architecture.,$$,8,"castle,historical site,architecture",https://images.unsplash.com/photo-1678694905260-a34d8818c09b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxIaW1lamklMjBDYXN0bGUlMjBKYXBhbnxlbnwwfHx8fDE3NjcxMDY5NDV8MA&ixlib=rb-4.1.0&q=80&w=1080
Tokyo Tower,Japan,35.658584,139.745433,Ascend for panoramic views of Tokyo.,A communications and observation tower inspired by the Eiffel Tower.,$$$,7,"tower,observation deck,iconic",https://images.unsplash.com/photo-1748250696821-ef55891cf1b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUb2t5byUyMFRvd2VyJTIwSmFwYW58ZW58MHx8fHwxNzY3MTA2NzEzfDA&ixlib=rb-4.1.0&q=80&w=1080
Senso-ji Temple,Japan,35.714704,139.796699,Experience Tokyo's oldest temple and bustling Nakamise-dori market.,"Tokyo's oldest temple, dedicated to Kannon, the goddess of mercy.",$,7,"temple,religious site,cultural",https://images.unsplash.com/photo-1697168248031-7a8333f70930?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxTZW5zb2ppJTIwVGVtcGxlJTIwSmFwYW58ZW58MHx8fHwxNzY3MTA2OTQyfDA&ixlib=rb-4.1.0&q=80&w=1080
Todai-ji Temple,Japan,34.688777,135.839252,See the Great Buddha statue and interact with friendly deer.,A historic Buddhist temple in Nara housing a giant bronze Buddha.,$$,7,"temple,religious site,historical",https://images.unsplash.com/photo-1720573166278-4ac6ba745a2a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUb2RhaWppJTIwVGVtcGxlJTIwSmFwYW58ZW58MHx8fHwxNzY3MTA4MDU0fDA&ixlib=rb-4.1.0&q=80&w=1080
Itsukushima Shrine,Japan,34.295623,132.317559,Admire the 'floating' torii gate at high tide.,A iconic Shinto shrine on Miyajima Island with a famous sea gate.,$$,7,"shrine,religious site,iconic",https://images.unsplash.com/photo-1669024595537-81ebd7989900?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxJdHN1a3VzaGltYSUyMFNocmluZSUyMEphcGFufGVufDB8fHx8MTc2NzEwODA1NXww&ixlib=rb-4.1.0&q=80&w=1080
Gyeongbokgung Palace,South Korea,37.579595,126.977155,Explore the largest of Seoul's Five Grand Palaces.,The principal royal palace of the Joseon dynasty.,$$,8,"palace,historical site,royal",https://images.unsplash.com/photo-1712085550969-3e11b45b453b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxHeWVvbmdib2tndW5nJTIwUGFsYWNlJTIwU291dGglMjBLb3JlYXxlbnwwfHx8fDE3NjcxMDY3MTN8MA&ixlib=rb-4.1.0&q=80&w=1080
Changdeokgung Palace Complex,South Korea,37.578427,126.990611,Wander through beautiful gardens and traditional Korean architecture.,"A UNESCO World Heritage site, renowned for its harmonious integration with nature.",$$,7,"palace,historical site,UNESCO",https://images.unsplash.com/photo-1665070650674-395f11b2cea4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxDaGFuZ2Rlb2tndW5nJTIwUGFsYWNlJTIwQ29tcGxleCUyMFNvdXRoJTIwS29yZWF8ZW58MHx8fHwxNzY3MTA4MDU1fDA&ixlib=rb-4.1.0&q=80&w=1080
Bulguksa Temple,South Korea,35.832788,128.876667,Visit this representative Silla Kingdom Buddhist temple.,A masterpiece of Silla Buddhist art and architecture.,$$,7,"temple,historical site,UNESCO",https://images.unsplash.com/photo-1534213469793-c32466377e9c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxCdWxndWtzYSUyMFRlbXBsZSUyMFNvdXRoJTIwS29yZWF8ZW58MHx8fHwxNzY3MTA2OTQ0fDA&ixlib=rb-4.1.0&q=80&w=1080
Seokguram Grotto,South Korea,35.847817,128.882508,Admire the monumental Buddha statue within a serene grotto.,"A hermitage and part of the Bulguksa temple complex, featuring a grand Buddha.",$$,7,"grotto,religious site,UNESCO","https://source.unsplash.com/800x600/?Seokguram,Grotto,South,Korea"
Cheomseongdae Observatory,South Korea,35.871671,129.211806,See one of the oldest astronomical observatories in East Asia.,An ancient astronomical observatory from the Silla Kingdom.,$,5,"observatory,historical site,ancient",https://images.unsplash.com/photo-1674567874682-3df13608e3fd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxDaGVvbXNlb25nZGFlJTIwT2JzZXJ2YXRvcnklMjBTb3V0aCUyMEtvcmVhfGVufDB8fHx8MTc2NzEwODA1Nnww&ixlib=rb-4.1.0&q=80&w=1080
Angkor Wat,Cambodia,13.412508,103.867045,Explore the world's largest religious monument.,A magnificent temple complex and a symbol of Cambodia.,$$,10,"temple,historical site,UNESCO",https://images.unsplash.com/photo-1680960964783-cc3a22c141b1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxBbmdrb3IlMjBXYXQlMjBDYW1ib2RpYXxlbnwwfHx8fDE3NjcxMDgwNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
Royal Palace of Cambodia,Cambodia,11.565389,104.923083,Tour the royal residence and admire Khmer architecture.,The royal residence of the King of Cambodia.,$$,7,"palace,royal,historical site",https://images.unsplash.com/photo-1706670663016-777de9e62d17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxSb3lhbCUyMFBhbGFjZSUyMG9mJTIwQ2FtYm9kaWElMjBDYW1ib2RpYXxlbnwwfHx8fDE3NjcxMDgwNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
My Son Sanctuary,Vietnam,15.883333,108.566667,Discover ancient Hindu temples of the Champa Kingdom.,"Ancient Hindu temple complex, a testament to the Champa civilization.",$$,7,"temple,historical site,UNESCO",https://images.unsplash.com/photo-1712058913561-dbb095b2781e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxNeSUyMFNvbiUyMFNhbmN0dWFyeSUyMFZpZXRuYW18ZW58MHx8fHwxNzY3MTA4MDU4fDA&ixlib=rb-4.1.0&q=80&w=1080
Hoi An Ancient Town,Vietnam,15.879613,108.336151,Wander through well-preserved streets of a historic trading port.,A preserved Southeast Asian trading port with mixed architectural styles.,$$,8,"historical site,town,UNESCO",https://images.unsplash.com/photo-1608354802819-c759d54e625c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxIb2klMjBBbiUyMEFuY2llbnQlMjBUb3duJTIwVmlldG5hbXxlbnwwfHx8fDE3NjcxMDgwNTh8MA&ixlib=rb-4.1.0&q=80&w=1080
Hoan Kiem Lake and Ngoc Son Temple,Vietnam,21.028383,105.853669,Visit the historic temple on the island in the lake.,A beautiful lake in Hanoi with a historic temple on an island.,$,6,"lake,temple,historical","https://source.unsplash.com/800x600/?Hoan,Kiem,Lake,and,Ngoc,Son,Temple,Vietnam"
Hue Imperial City,Vietnam,16.469698,107.588803,Explore the historic citadel and palaces of the Nguyen Dynasty.,"The former imperial capital of Vietnam, a UNESCO World Heritage site.",$$,7,"historical site,citadel,UNESCO",https://images.unsplash.com/photo-1720456485611-a266e43e2bca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxIdWUlMjBJbXBlcmlhbCUyMENpdHklMjBWaWV0bmFtfGVufDB8fHx8MTc2NzEwODA1OXww&ixlib=rb-4.1.0&q=80&w=1080
Petronas Twin Towers,Malaysia,3.157761,101.711866,Visit the observation deck and skybridge for city views.,"Iconic twin skyscrapers, once the world's tallest buildings.",$$$,9,"skyscraper,iconic,architecture",https://images.unsplash.com/photo-1706249085166-bc6e8a0691cc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxQZXRyb25hcyUyMFR3aW4lMjBUb3dlcnMlMjBNYWxheXNpYXxlbnwwfHx8fDE3NjcxMDgwNTl8MA&ixlib=rb-4.1.0&q=80&w=1080
Batu Caves,Malaysia,3.227337,101.683678,Climb the steps to the impressive Hindu temples within limestone caves.,A series of limestone caves with prominent Hindu shrines.,$,7,"caves,religious site,iconic","https://source.unsplash.com/800x600/?Batu,Caves,Malaysia"
Kuala Lumpur Tower,Malaysia,3.154697,101.704041,Enjoy panoramic views of Kuala Lumpur from the observation deck.,A tall communications tower offering expansive city views.,$$$,7,"tower,observation deck,modern","https://source.unsplash.com/800x600/?Kuala,Lumpur,Tower,Malaysia"
Merdeka 118,Malaysia,3.141352,101.701218,Admire the second-tallest building in the world.,"A supertall skyscraper, a modern icon of Kuala Lumpur.",$$$$,8,"skyscraper,modern,iconic","https://source.unsplash.com/800x600/?Merdeka,118,Malaysia"
Gardens by the Bay,Singapore,1.281968,103.863665,"Explore futuristic gardens, including the Cloud Forest and Flower Dome.",An iconic urban park with spectacular nature-inspired attractions.,$$,9,"gardens,modern,iconic","https://source.unsplash.com/800x600/?Gardens,by,the,Bay,Singapore"
Marina Bay Sands,Singapore,1.283578,103.855887,Visit the Skypark for stunning city views and rooftop infinity pool.,A luxury integrated resort with an iconic rooftop infinity pool.,$$$$$,9,"resort,iconic,architecture","https://source.unsplash.com/800x600/?Marina,Bay,Sands,Singapore"
Merlion Park,Singapore,1.286384,103.857767,Take photos with the iconic Merlion statue.,"Home to Singapore's mythical Merlion statue, a beloved icon.",$,7,"statue,iconic,waterfront","https://source.unsplash.com/800x600/?Merlion,Park,Singapore"
Sultan Omar Ali Saifuddien Mosque,Brunei,4.889778,114.937222,Admire the stunning Islamic architecture and golden dome.,"A majestic royal mosque, considered a jewel of Brunei.",$,7,"mosque,religious site,architecture","https://source.unsplash.com/800x600/?Sultan,Omar,Ali,Saifuddien,Mosque,Brunei"
Borobudur Temple Compounds,Indonesia,-7.607871,110.203773,Explore the world's largest Buddhist temple.,"A massive 9th-century Mahayana Buddhist temple, a UNESCO World Heritage site.",$$,9,"temple,historical site,UNESCO","https://source.unsplash.com/800x600/?Borobudur,Temple,Compounds,Indonesia"
Prambanan Temple Compounds,Indonesia,-7.752079,110.488697,Discover a stunning complex of Hindu temples.,"A 9th-century Hindu temple complex, a UNESCO World Heritage site.",$$,8,"temple,historical site,UNESCO","https://source.unsplash.com/800x600/?Prambanan,Temple,Compounds,Indonesia"
Tanah Lot Temple,Indonesia,-8.619444,115.085,"Visit this iconic sea temple, especially at sunset.","A picturesque Hindu sea temple on Bali, perched on a rock formation.",$$,7,"temple,religious site,iconic","https://source.unsplash.com/800x600/?Tanah,Lot,Temple,Indonesia"
Banaue Rice Terraces,Philippines,16.919838,121.068655,"Marvel at the ancient, hand-carved rice terraces.","Ancient, hand-carved rice terraces that resemble a giant staircase.",$,8,"landscape,historical site,UNESCO","https://source.unsplash.com/800x600/?Banaue,Rice,Terraces,Philippines"
Intramuros,Philippines,14.591329,120.977125,Explore the historic walled city of Manila.,"The historic walled center of Manila, filled with colonial-era architecture.",$$,7,"historical site,city,colonial","https://source.unsplash.com/800x600/?Intramuros,Philippines"
San Sebastian Church,Philippines,14.597905,120.981638,Admire the unique all-steel Gothic architecture.,A historic Roman Catholic basilica made entirely of steel.,$,6,"church,architecture,historical","https://source.unsplash.com/800x600/?San,Sebastian,Church,Philippines"
Taipei 101,Taiwan,25.033966,121.565097,Visit the observation deck for panoramic views of Taipei.,"An iconic skyscraper, formerly the world's tallest building.",$$$,9,"skyscraper,observation deck,iconic",https://images.unsplash.com/photo-1692667651678-b989e9ae7bc2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxUYWlwZWklMjAxMDElMjBUYWl3YW58ZW58MHx8fHwxNzY3MTA2NzE0fDA&ixlib=rb-4.1.0&q=80&w=1080
National Palace Museum,Taiwan,25.077376,121.465588,Explore vast collections of ancient Chinese imperial artifacts.,Houses a vast collection of Chinese imperial art and artifacts.,$$,8,"museum,historical site,cultural","https://source.unsplash.com/800x600/?National,Palace,Museum,Taiwan"
Chiang Kai-shek Memorial Hall,Taiwan,25.037279,121.495734,Visit the grand memorial dedicated to Chiang Kai-shek.,A majestic monument honoring the former leader of Taiwan.,$,7,"monument,memorial,historical","https://source.unsplash.com/800x600/?Chiang,Kaishek,Memorial,Hall,Taiwan"
Longshan Temple,Taiwan,25.037811,121.497555,Experience traditional Buddhist and Taoist worship.,"A vibrant and historic temple in Taipei, blending Buddhist and Taoist elements.",$,6,"temple,religious site,cultural","https://source.unsplash.com/800x600/?Longshan,Temple,Taiwan"
Ulaanbaatar - Genghis Khan Statue Complex,Mongolia,47.88817,107.10586,Visit the monumental statue dedicated to Genghis Khan.,A massive statue complex honoring the founder of the Mongol Empire.,$$,7,"monument,statue,historical","https://source.unsplash.com/800x600/?Ulaanbaatar,,Genghis,Khan,Statue,Complex,Mongolia"
Erdene Zuu Monastery,Mongolia,46.3875,104.854167,Explore one of Mongolia's oldest and most important monasteries.,A historic Buddhist monastery complex in the ancient capital of Karakorum.,$$,6,"monastery,historical site,religious","https://source.unsplash.com/800x600/?Erdene,Zuu,Monastery,Mongolia"
Gobi Desert,Mongolia,43.0,105.0,Experience desert landscapes and nomadic culture.,Vast arid region known for its dramatic landscapes and paleontological finds.,$$$,8,"desert,natural landmark,adventure","https://source.unsplash.com/800x600/?Gobi,Desert,Mongolia"
Kizhi Island,Russia (Far East),62.0674,34.7653,Visit the stunning wooden churches and chapels.,"An island featuring remarkable wooden architecture, a UNESCO World Heritage site.",$$,6,"historical site,architecture,UNESCO","https://source.unsplash.com/800x600/?Kizhi,Island,Russia,Far,East"
Vladivostok Fortress,Russia (Far East),43.1155,131.8862,Explore a vast complex of military fortifications.,An extensive system of fortifications dating back to the Russian Empire.,$$,5,"historical site,fortress,military","https://source.unsplash.com/800x600/?Vladivostok,Fortress,Russia,Far,East"
The Bund,China,31.245095,121.488879,Walk along the waterfront and admire colonial-era architecture.,Historic waterfront promenade with colonial buildings in Shanghai.,$,8,"architecture,waterfront,historical","https://source.unsplash.com/800x600/?The,Bund,China"
Forbidden City,China,39.907403,116.391306,Explore imperial palaces and courtyards.,Former imperial palace complex of Ming and Qing dynasties.,$$,9,"historical site,palace,imperial",https://images.unsplash.com/photo-1681495388843-42440711c89d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxGb3JiaWRkZW4lMjBDaXR5JTIwQ2hpbmF8ZW58MHx8fHwxNzY3MTA2OTQyfDA&ixlib=rb-4.1.0&q=80&w=1080
Great Wall of China (Mutianyu Section),China,40.431908,116.570374,Walk along the ancient ramparts and enjoy panoramic views.,A well-preserved and scenic section of the Great Wall.,$$,10,"historical site,monument,iconic","https://source.unsplash.com/800x600/?Great,Wall,of,China,Mutianyu,Section,China"
Potala Palace,China,29.657761,91.117529,Visit the former residence of the Dalai Lama and explore its religious art.,"Iconic fortress-palace in Lhasa, a symbol of Tibetan Buddhism.",$$,9,"palace,monastery,religious site",https://images.unsplash.com/photo-1624386748285-577003092e09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxQb3RhbGElMjBQYWxhY2UlMjBDaGluYXxlbnwwfHx8fDE3NjcxMDgwNTB8MA&ixlib=rb-4.1.0&q=80&w=1080
Temple of the Emerald Buddha (Wat Phra Kaew),Thailand,13.750768,100.497953,Witness the sacred Emerald Buddha and explore the temple complex.,The most sacred Buddhist temple in Thailand.,$$,9,"temple,religious site,royal","https://source.unsplash.com/800x600/?Temple,of,the,Emerald,Buddha,Wat,Phra,Kaew,Thailand"
The Grand Palace,Thailand,13.750546,100.493377,Tour the magnificent royal residence and admire Thai architecture.,A dazzling complex of royal buildings in Bangkok.,$$,9,"palace,royal,historical site","https://source.unsplash.com/800x600/?The,Grand,Palace,Thailand"
Wat Arun (Temple of Dawn),Thailand,13.744197,100.488487,Climb the central prang for views of the Chao Phraya River.,A stunning riverside temple known for its distinctive spires.,$$,8,"temple,religious site,iconic","https://source.unsplash.com/800x600/?Wat,Arun,Temple,of,Dawn,Thailand"
Ayutthaya Historical Park,Thailand,14.344521,100.574119,Explore the ruins of the former Siamese capital.,"The remains of the ancient capital of Siam, a UNESCO World Heritage site.",$$,8,"historical site,ruins,UNESCO","https://source.unsplash.com/800x600/?Ayutthaya,Historical,Park,Thailand"
Phang Nga Bay,Thailand,8.674865,98.447501,Take a boat tour through the dramatic limestone karsts.,A bay known for its stunning limestone cliffs and sea caves.,$$$,8,"natural landmark,islands,scenic","https://source.unsplash.com/800x600/?Phang,Nga,Bay,Thailand"
Doi Suthep,Thailand,18.807684,98.947219,Visit the sacred temple with panoramic views of Chiang Mai.,A sacred mountain temple offering breathtaking views of Chiang Mai.,$$,7,"temple,religious site,scenic","https://source.unsplash.com/800x600/?Doi,Suthep,Thailand"
Ta Prohm,Cambodia,13.417657,103.893611,Explore the jungle-clad temple made famous by 'Tomb Raider'.,An atmospheric temple famous for the giant tree roots growing over it.,$$,8,"temple,historical site,jungle","https://source.unsplash.com/800x600/?Ta,Prohm,Cambodia"
Preah Vihear Temple,Cambodia,14.372637,104.993308,Visit the spectacular Khmer temple perched on a cliff.,A stunning Khmer temple situated atop a remote cliff.,$$,7,"temple,historical site,UNESCO","https://source.unsplash.com/800x600/?Preah,Vihear,Temple,Cambodia"
Bayon Temple,Cambodia,13.444638,103.857501,Admire the enigmatic smiling faces carved into the temple towers.,"A Khmer temple known for its numerous serene, smiling stone faces.",$$,8,"temple,historical site,iconic","https://source.unsplash.com/800x600/?Bayon,Temple,Cambodia"
Silver Pagoda (Temple of the Emerald Buddha),Cambodia,11.562548,104.926643,See the Emerald Buddha and admire the ornate temple.,"Located within the Royal Palace, it houses the Emerald Buddha.",$$,7,"temple,religious site,royal","https://source.unsplash.com/800x600/?Silver,Pagoda,Temple,of,the,Emerald,Buddha,Cambodia"
Ha Long Bay,Vietnam,20.7766,107.1671,Cruise amidst thousands of limestone karsts and islets.,A UNESCO World Heritage site famous for its thousands of limestone karsts.,$$$,9,"natural landmark,islands,UNESCO","https://source.unsplash.com/800x600/?Ha,Long,Bay,Vietnam"
Phong Nha-Ke Bang National Park,Vietnam,17.5667,106.25,Explore the world's largest caves and stunning karst landscapes.,A UNESCO World Heritage site with spectacular caves and karst formations.,$$,8,"natural landmark,caves,UNESCO","https://source.unsplash.com/800x600/?Phong,NhaKe,Bang,National,Park,Vietnam"
Imperial City of Hue,Vietnam,16.469698,107.588803,Explore the historic citadel and palaces of the Nguyen Dynasty.,"The former imperial capital of Vietnam, a UNESCO World Heritage site.",$$,7,"historical site,citadel,UNESCO","https://source.unsplash.com/800x600/?Imperial,City,of,Hue,Vietnam"
Cu Chi Tunnels,Vietnam,11.0993,106.6177,Explore the underground network used during the Vietnam War.,An extensive network of underground tunnels used during the Vietnam War.,$,7,"historical site,tunnels,war","https://source.unsplash.com/800x600/?Cu,Chi,Tunnels,Vietnam"
Saigon Notre-Dame Cathedral,Vietnam,10.7797,106.6991,Admire the French colonial architecture of this historic cathedral.,A historic Roman Catholic cathedral with French colonial architecture.,$,6,"cathedral,architecture,colonial","https://source.unsplash.com/800x600/?Saigon,NotreDame,Cathedral,Vietnam"
