location,logical_location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Bagan,,Myanmar,Ananda Temple,21.170582,94.866615,"Marvel at the ancient architectural style and intricate stucco work, and explore the surrounding plains dotted with thousands of temples.","A 12th-century masterpiece, often called the 'Westminster Abbey of Burma' for its architectural grandeur.",$$,8,"history, architecture, UNESCO, temples",https://pixabay.com/get/g8c855fa698fd60899202d46578a0ade0af14ceef64e3e946d7021a2a11dcd5ed1bbfddf1a1564b79b802bb446fcd33d093e097147a6a03a4926d066f1d6bd42d_640.jpg
Kathmandu,,Nepal,Kathmandu Durbar Square,27.70415,85.30647,"Wander through the ancient royal palace complex, admire the intricate Newari architecture, and visit various temples and courtyards.","A historic UNESCO World Heritage site, showcasing intricate Newari architecture and royal palaces.",$$,8,"history, architecture, UNESCO, culture",https://pixabay.com/get/g782b3265390213322cc675c4b62c2cbec710db90f41f02a1636cbaec688ac8297819c08d3b02e733df33eea83c666b6141d7517fd6a54e3ac12d25a6eef1d585_640.jpg
Jaipur,,India,Hawa Mahal,26.921,75.8227,Admire the unique facade with its 953 windows (jharokhas) and imagine royal women observing street life unseen.,"The 'Palace of Winds', an iconic pink sandstone structure with a distinctive honeycomb facade.",$$,7,"architecture, history, unique, city",https://pixabay.com/get/g4a9326689dd401c758b1ed407426cd8b6d488db5b7ea5522bc468429aabb1fd05fd593de2dd6912d24695972a52b7d307bb28abf1c70f5d0f848f6cf1e26a422_640.jpg
Varanasi,,India,Ghats of Varanasi,25.3167,83.0104,"Witness ancient rituals, take a boat ride on the Ganges River, and soak in the spiritual atmosphere.","The spiritual heart of India, where pilgrims perform sacred rituals along the banks of the Ganges.",$,9,"spiritual, culture, river, ancient",https://pixabay.com/get/g48a54cb9dcc8ce8d7c14306d26620ccff8b4c1581510e7a472f9a1315d507990517d062c5b9afd7c5b939ca2833aec256484240c333f24f9865a9836328397ef_640.jpg
Sigiriya,,Sri Lanka,Sigiriya Rock Fortress,7.956944,80.75972,"Climb the ancient rock fortress, explore its water gardens, and admire the frescoes and the stunning panoramic views.","A UNESCO World Heritage site, this ancient rock fortress offers breathtaking views and ancient artistry.",$$$,8,"history, UNESCO, adventure, views",https://pixabay.com/get/gfe3d2be7ef5f281a8fbf3f95e1fb3a0cf1003eb91f8b30bfa33e045e428e503e362d2a3eac31b753983a4015091e12fa_640.jpg
Thimphu,,Bhutan,National Museum of Bhutan,27.4287,89.4256,"Explore Bhutanese art, artifacts, and traditional crafts to understand the kingdom's rich cultural heritage.","Showcases Bhutan's rich history, art, and cultural heritage in a beautifully renovated ancient watchtower.",$$,6,"culture, museum, history, art",https://pixabay.com/get/gf6b45fbcca259513fc103eb2526ed264e61a4d3f38d758d67b77e55f5d8f0755fbae406d6ca5f276d511994e6a1b27a299be2c43604fa04e2f3195e9944683d1_640.jpg
Old Delhi,,India,Chandni Chowk Market,28.656,77.231,"Immerse yourself in the bustling atmosphere, sample street food, shop for textiles, spices, and jewelry.","One of Asia's oldest and busiest markets, offering a sensory overload of sights, sounds, and smells.",$,7,"market, food, shopping, culture",https://pixabay.com/get/g2ecd6fc55faabe997ba58160b6886f5e695b3e4f7a850295246b42388f135170bac9d1efed9a68559864b2edb1af728e8abd1508501d3f7026c07c0850701728_640.jpg
Hampi,,India,Virupaksha Temple,15.3352,76.4603,"Explore the ancient temple complex, witness its living traditions, and wander through the surrounding ruins of Vijayanagara.","A magnificent 7th-century temple complex, set amidst the stunning ruins of the Vijayanagara Empire.",$$,7,"history, UNESCO, temples, ruins",https://pixabay.com/get/ge13f6327c264fa8b79f94351b9ec533ab424a499fafade152eff578a461e8864ab923ce363463ef1030539751fb2f3c8_640.jpg
Thanjavur,,India,Brihadeeswarar Temple,10.7828,79.1318,"Admire the colossal Dravidian architecture, the towering vimana, and the intricate sculptures within this UNESCO World Heritage site.","A monumental example of Dravidian architecture and a UNESCO World Heritage site, dedicated to Lord Shiva.",$$,7,"architecture, UNESCO, temples, history",https://pixabay.com/get/g72907345f462f317dadc825dacaee46092f226d63697b052208412d27472c56ebba11c96edef9825102a43f29969974386e4da620aaa24ade9fefc77b7348378_640.jpg
Wadi Rum,,Jordan,The Seven Pillars of Wisdom,29.5707,35.4318,"Hike and climb the sandstone mountains, explore ancient inscriptions.",Vast desert landscape with stunning rock formations.,$$,7,"hiking,climbing,desert,jeep-tours",https://pixabay.com/get/gb23db8b43aade17dd146521da7d663ca286d07d6e7a37d785e9ece8c67e2313434fd0a1069b5ec99a04de707e196b8435af49577eec9eeb2a7347558b9ebf6f9_640.jpg
Jebel Shams,,Oman,Grand Canyon of Arabia,23.1763,57.1862,"Trek along the rim or descend into the canyon, rock climbing.","Oman's highest peak, offering dramatic canyon views.",$$,6,"hiking,climbing,mountains,canyoning",https://pixabay.com/get/g918f2509a25f2e14790685e1ec2dfab8ebbfbd5ae5336129d94834c6c49852ac305f6b9e4cc71a8a6fe5550b648a5ac5853cb41924e3bf1e61f2fed4e8fa95fe_640.jpg
Mount Sinai,,Egypt,St. Catherine's Monastery Trail,28.5567,33.9885,"Hike to the summit for sunrise, visit the ancient monastery.",Sacred mountain with historical and spiritual significance.,$$,8,"hiking,religious,mountains,historical",https://pixabay.com/get/gfe6e4ee3f42d2f16da59710741004bb3d0e15ba69159ecdc5f73fa78a3df8b0a10fe41646e5e6279e679ed3356d7321a_640.jpg
Kassab,,Syria,Gabal Zaytun (Mount Olive),35.7562,35.8991,Hiking through olive groves and scenic mountainous terrain.,Picturesque mountain village with hiking trails.,$,3,"hiking,nature,villages,off-the-beaten-path",https://pixabay.com/get/g4ae76101b64d120da5545e833d1e4934838c19455f3c3d79e219df43b64e7d9ab7b042a6cc5ca7afe4fc36d9fdd4491b4c1ccb39083da092f0ebc0df1f06bc9b_640.jpg
Dhahran,,Saudi Arabia,King Abdullah Economic City - Coastal area,22.0333,39.1167,Coastal exploration and potential for water sports or light hiking.,Modern city with coastal access and developing recreational areas.,$$$,5,"coastal,water-sports,urban-exploration",https://pixabay.com/get/g4299d0cc00e12e7a2b20330fb4dd2cf573d9a348586346d1d1fcbed2587f288a94d724b2a3b45574c5eea1ec17d5c54a9a1cab30867c5e4c282d5bc77df1fdb6_640.jpg
Beirut,,Lebanon,Qannoubine Valley,34.175,35.85,Trekking through ancient monasteries and natural landscapes.,A UNESCO World Heritage site with stunning natural beauty.,$$,6,"hiking,religious,historical,nature",https://pixabay.com/get/gbe8ef121df1ca9aaab4a5ee9264d9a61a189c2776628507fc6121a763c594856e5ba94d98ff4b759ad886de0c3512adb926be739405751c18a0a253008fb715a_640.jpg
Sir Bani Yas Island,,United Arab Emirates,Arabian Wildlife Park,24.2955,52.5734,"Safari-style exploration, kayaking, and nature walks.",Island nature reserve with diverse wildlife and activities.,$$$$,7,"wildlife,nature,kayaking,cycling",https://pixabay.com/get/g5763485de1df7ff658158b909c55f1ad77b43da5b96ad6022b52fe971c1fee6d50ec8cc62a2db4ea66a47a828d8f80f077cc0704d27f10d90af1b44036e57005_640.jpg
Al Hoota Cave,,Oman,Al Hoota Cave System,23.15,57.3667,Cave exploration and guided tours through subterranean wonders.,Impressive natural cave system with unique geological formations.,$$,5,"caving,adventure,geology,nature",https://pixabay.com/get/gfcaad04a24caf942ef8137e5606b560b0f989132bc18118263e2d30c6e769b96720f872e74fcc35ff1213e032ef6433d02c265289ffce047543856c47758f1d9_640.jpg
Mount Hermon,,Israel,Mount Hermon Ski Resort Trails,33.275,35.8583,"Hiking and mountain biking during warmer months, skiing in winter.","The highest point in Israel, offering varied terrain.",$$$,6,"hiking,skiing,mountain-biking,scenic",https://pixabay.com/get/g1a705984b5e4dfe4252c3d9dd19fe36cc30535e916dd51da9d377dbc21ed0c76331a3a1ec3ca1821cce9c6fa90d1bbc43b18910a8b2fe6b58ee27be3e731bc8d_640.jpg
Hatta,,United Arab Emirates,Hatta Dam and Mountains,24.7942,56.128,"Kayaking, mountain biking, hiking, and zip-lining in the Hajar Mountains.","Mountain enclave known for its dam, heritage village, and adventure sports.",$$$,7,"kayaking,hiking,mountain-biking,zip-lining,water-sports",https://pixabay.com/get/g9bf82b680ec93be82c6769609bd4e33b545cbdfa172108ab28672d8f6ee24eea139a19c5e0c105c0afa94760253e8d6aad63c6f7e0104506a0fe9c63cdba52f6_640.jpg
Paris,,France,Rue Montorgueil,48.8685,2.3443,"Explore the vibrant market street, sample pastries, cheeses, and local delicacies.",A bustling pedestrian street known for its food shops and cafes.,$$-$$$,7,"food market,street food,pastries,cheese",https://pixabay.com/get/g7babb6dc6f293d2487b47f56caaebbf980ea7a7bb2f570c91bce9ae050cb4d0d09c5f25213f7735b2db69b351d74af32_640.jpg
Tuscany,,Italy,Tuscookany Cooking School,43.779,11.2558,Participate in hands-on Italian cooking classes in a beautiful villa setting.,Immerse yourself in Tuscan cuisine with expert-led cooking classes.,$$$$,6,"cooking class,Tuscan cuisine,villa,wine",https://pixabay.com/get/g61c7fb4f3ce431d85f46206e59f2ede3247ccd6271e0c0e61069ceee100e4b1e86fe0941fc7ccc35558f0e3f9a8fb7573355627040af4cedac04b162ac07834a_640.jpg
Rome,,Italy,Trastevere Neighborhood,41.8904,12.4779,Join a street food tour to sample Roman classics like supplì and pizza al taglio.,Wander through charming streets and savor authentic Roman street food.,$$-$$$,8,"street food tour,Roman cuisine,local experience",https://pixabay.com/get/g6ca9d9fb1500879790ff4174f78909d8287b735394ea17701586060a2b38240e2d3e998cda9e6e72239ae2a9c4a0787956abb667ad42d88fc3fa60cc33f04953_640.jpg
Bordeaux,,France,Bordeaux Wine Region,44.8378,-0.5792,"Visit vineyards, taste world-renowned wines, and explore châteaux.",Discover the prestigious wine region and its iconic châteaux.,$$$$,9,"wine tasting,vineyards,châteaux,Bordeaux wines",https://pixabay.com/get/g2add6efdd1a4b3f3c2d513f5f2e72574bf09526f2f78d7c6933c9b496f45984b7385603a1ff2aa735ce9bc83f28f7339f59a6651469b3f9fe6378ff2dddf341f_640.jpg
Lisbon,,Portugal,Cervejaria Ramiro,38.7233,-9.1386,"Indulge in fresh, high-quality seafood at this legendary Lisbon institution.",A world-famous spot for the freshest and finest seafood in Lisbon.,$$-$$$,8,"seafood,traditional,local favorite",https://pixabay.com/get/gae92c98d46d72c14d6a68ddec66ee4ff1e97669f99545b35957ada0df705fa76ca640f3751f8ca038b56052cc649f6696cc6425fee562ff96babafe277721190_640.jpg
Amsterdam,,Netherlands,Albert Cuyp Market,52.3585,4.8956,"Explore a bustling market offering stroopwafels, poffertjes, cheeses, and international street food.",Amsterdam's largest and most famous market with diverse culinary offerings.,$$,7,"food market,street food,Dutch snacks,multicultural",https://pixabay.com/get/ge72ac367ccde340a80cd39bc843b51e35bfdca7809a54f010ba2c35d727633db4455098e15cdc4c6dca9f02f96ad1e24aafe6e75853fd6babeb886d47e26f522_640.jpg
Brussels,,Belgium,Galeries Royales Saint-Hubert,50.8462,4.357,Sample exquisite chocolates from renowned chocolatiers like Pierre Marcolini and Neuhaus.,Elegant 19th-century arcades housing top Belgian chocolatiers.,$$$,8,"chocolate,luxury,artisan",https://pixabay.com/get/g777bc34732bf294aa63cb5f74c667a61eb36330c3c91d33209303e31aad685ff4dc8e683af7200bfa216ab81aef310d6bbde36f8f1bcca5b7a8868e9eb6353c1_640.jpg
Lyon,,France,Les Halles de Lyon Paul Bocuse,45.7565,4.8415,"Explore an indoor market showcasing gourmet produce, local delicacies, and artisanal products.","A temple to gastronomy, named after the legendary chef Paul Bocuse.",$$-$$$,8,"indoor market,gourmet,local specialties,gastronomy",https://pixabay.com/get/gf4ef85b44a53ff00bfce3524cf93d6c51e2ce5c9c24c8aced9d809afe775cf5074113da42fd95acb9f8a3335e01a5d5a74fca4562e6f5506a6bbeafdf41d2965_640.jpg
Vienna,,Austria,Figlmüller,48.2081,16.3738,"Savor the iconic Wiener Schnitzel, famously larger than the plate.",An iconic restaurant renowned for its massive and delicious Wiener Schnitzel.,$$-$$$,8,"schnitzel,Austrian cuisine,iconic",https://pixabay.com/get/g7f9965335b0fdd8657da55b3e13c0c9eaa921fc06ccfeef48706aea757f63b84938a46d9862a41e946259fac3771430b7db67dbcd6784b04148d1c58601645d6_640.jpg
Valencia,,Spain,Albufera Natural Park,39.3446,0.4064,"Experience authentic paella in its birthplace, with restaurants in El Palmar village.","The birthplace of paella, offering traditional rice dishes in a unique natural setting.",$$-$$$,7,"paella,authentic,rice dishes,local",https://pixabay.com/get/gd5c374f53bff36609fd6701518d536632c6cdd9461b1cca7932312caf0e02f3ad9d99b0483bedc7aed3d86d70874594f7d2e137be919731e89b4bd68459a6966_640.jpg
Białowieża Forest,,Poland,Białowieża National Park,52.7253,23.8857,"Observe European bison, red deer, elk, wild boar, wolves, and numerous bird species in Europe's last primeval lowland forest.","Europe's last primeval lowland forest, a UNESCO Biosphere Reserve.",$$,8,"wildlife,forest,nature,UNESCO",https://pixabay.com/get/gce2980bfc1d83535015055fb800830e4b66a8a7352b290ede469289a9ce3dd7c908c18c3eeaf85cd8e3b122ab5f3e082035b076b40cc625b3f95cb45639d8858_640.jpg
Danube Delta,,Romania,Danube Delta Biosphere Reserve,45.2167,29.2667,"Birdwatching (pelicans, cormorants, egrets), spotting otters, foxes, wild horses, and exploring unique wetland ecosystems.","Vast wetland teeming with birds, mammals, and diverse aquatic life.",$$,8,"birdwatching,wetland,biodiversity,nature",https://pixabay.com/get/gd1910b323ea3d70475595aa52762f1501ab861df260d8ebc368a531ac507b91025fda26665fef2063eeca1f8c4b6822c819e3880cd0ef39d104bb01d974c844e_640.jpg
Plitvice Lakes National Park,,Croatia,Plitvice Lakes National Park,44.8877,15.6207,"Hike around sixteen terraced lakes connected by waterfalls, observing diverse fish, birds, and mammals like bears and wolves.",UNESCO World Heritage site with stunning turquoise lakes and waterfalls.,$$$,9,"waterfall,hiking,nature,UNESCO",https://pixabay.com/get/g636e1caaabd055471c02f92cada662a8abc67d514f63a8739ce5086e133f5ce3c27ba92d07cb5278753f0b2406ab24af88db1c31053dfe95fc0fc37c9840dec3_640.jpg
Durmitor National Park,,Montenegro,Durmitor National Park,43.0946,19.0161,"Explore glacial lakes, deep canyons, and mountain peaks while looking for brown bears, wolves, chamois, and golden eagles.",Dramatic mountain landscape with glacial lakes and Europe's deepest canyon.,$$,7,"mountains,canyoning,hiking,wildlife",https://pixabay.com/get/ge541b772a9806464066d98038c2ffb902081a74ef866562c20da7727e1fff1f63e1a0c1be553273888bea7ae886521a0a3c342cf420704611c483de0901391cc_640.jpg
Saxon Switzerland National Park,,Germany,Saxon Switzerland National Park,50.9413,14.1316,"Hike through unique sandstone formations, observe peregrine falcons, black storks, and explore gorges and forests.",Unique sandstone rock formations and deep gorges in eastern Germany.,$$,6,"hiking,rock formations,nature,wildlife",https://pixabay.com/get/ge40c68ecece77b1ad408f01d0670b3d85344d430a92074de5f7dd7a8c35998993963088594d85665ef0083d9d03bdaa8_640.jpg
Retezat National Park,,Romania,Retezat National Park,45.35,22.8333,"Trek around glacial lakes and peaks, searching for brown bears, wolves, lynx, chamois, and numerous bird species.",Romania's oldest national park with glacial lakes and pristine old-growth forests.,$$,6,"mountains,hiking,biodiversity,old-growth forest",https://pixabay.com/get/gd8e821c9a9e53d54550617023c4d1a450b08d35b37af05d992c907f8ea17e77efd64fcca83e45c0fdb192244e3679f111fce3c26907365731b15777be494863e_640.jpg
Sarek National Park,,Sweden,Sarek National Park,67.2833,17.7,"Experience true wilderness, spot reindeer, bears, lynx, wolverines, and golden eagles in a remote Arctic landscape.",One of Europe's last great Arctic wilderness areas with glaciers and mountains.,$$$$,7,"arctic,wilderness,hiking,remote",https://pixabay.com/get/g83a32f206c0c7989de8f5d69e8ce6e3d58a2c94be5bf40b01e57e2b714eb086c46b915866768c4d1a3305a002dc2d434a15f9e492575f58cb0e6463b51b175a7_640.jpg
Peneda-Gerês National Park,,Portugal,Peneda-Gerês National Park,41.7,-8.1833,"Observe Iberian wolves, Garrano ponies, deer, wild boars, and diverse birdlife in mountainous terrain with waterfalls and granite peaks.","Portugal's only national park, known for its wild horses and unique ecosystems.",$$,6,"mountains,hiking,wildlife,wild horses",https://pixabay.com/get/g2fbaf4713fe028e41097609d7f78596df900feec8386ae18dd67277a4adc153ff245b103c1dd7a2d519b0b8946e6760ae054c6e0a601a935cc8a5bcbee01256c_640.jpg
Slovak Paradise National Park,,Slovakia,Slovak Paradise National Park,48.9167,20.35,"Explore gorges, canyons, and waterfalls, looking for bears, wolves, lynx, and diverse bird and invertebrate species.","A unique landscape of canyons, gorges, and waterfalls with rich biodiversity.",$$,6,"canyoning,hiking,caves,nature",https://pixabay.com/get/gce0b2378f20390d88d109ca6c416776bf582aaee060108bdb77af0dd4c9158c4b5d0dec113e97c4e31d15a58794ade6815d05cb0e7b09b4c16e439373c323d0a_640.jpg
Grama Bay,,Albania,Grama Bay,40.2399,19.5242,"Relax on a secluded beach, swim in clear waters, and look for Mediterranean monk seals in a protected marine area.","Secluded beach in a protected marine park, a haven for Mediterranean monk seals.",$$,5,"beach,secluded,marine life,nature",https://pixabay.com/get/g8f892f4acc7e8d945b2403c2e092e6596952423999cff1c66cfbe2bbd8e87fa328d64492e378988e26af9d93d21a2caf434fe54afc756a4e3ad63a5aa916e789_640.jpg
Nairobi,,Kenya,Kibera Art District,-1.3159,36.8219,"Explore vibrant street art murals, visit local artist studios, and interact with community artists.",Explore the colorful murals and urban art in Kenya's largest informal settlement.,$$,6,"street art,community,urban exploration",https://pixabay.com/get/gb9ecdb8fb809ce9d7646201639fef572ed3b167fe6dfc17bc3054b848c5540f7d8d03c36d4597949dbd44bf18b4d1a61b8fb46ce59cfb5e822328f5ee981c9cb_640.jpg
Cape Town,,South Africa,Bo-Kaap,-33.9158,18.4181,"Wander through colorful streets, visit the Bo-Kaap Museum, and discover Cape Malay culture and cuisine.",Vibrantly painted houses and rich Cape Malay heritage in the oldest neighborhood.,$$,7,"culture,history,architecture",https://pixabay.com/get/g8cf1edbba747b2941e4b8ecc64810710da2a187ce0c4372200d32cf877e07d61f632d5eae7b689005a0665765a8a7a30fd594f07df96abc86a9010c1d9a17e1a_640.jpg
Lagos,,Nigeria,Makoko Floating Market,6.4908,3.3951,"Navigate waterways by canoe, observe stilt houses, and experience daily life in a unique floating community.","A unique floating village on stilts, offering a glimpse into aquatic life and culture.",$$,7,"unique,waterfront,community",https://pixabay.com/get/gc99a2be537b8532933da45ffe1e0609fe44b82ef4c02e71a95b1a2f846e982f3ed3a93bf3af03dfb39763ab482c3be76d0fa0d208e67a4fef57c3a1726818b05_640.jpg
Accra,,Ghana,Jamestown,5.5555,-0.2059,"Explore historic forts, climb the lighthouse for views, and witness vibrant street art and boxing culture.",Historic fishing community with colonial architecture and vibrant street art.,$$,6,"history,art,coastal",https://pixabay.com/get/gb8d649eb8156f068f8835a19ae3adab7b56fb4ceb16b5d82e18448c98a846659d624c011ee14b71903124a6687d3ee3a5d8992c1dbc0e357226a19c74d65a7b6_640.jpg
Addis Ababa,,Ethiopia,Mercato,9.0279,38.7577,"Immerse yourself in Africa's largest open-air market, shop for crafts, spices, and local goods.","Africa's largest open-air market, a bustling hub of commerce and culture.",$$,8,"market,shopping,culture",https://pixabay.com/get/g10f14f249aeaf37545295d3a2687a671d19189bad1d48d749e15732686e5bb432a94a9c87a4eeb42ea2bced0317ff64d7d96af44f0614561f1c2c243b2277fc3_640.jpg
Dakar,,Senegal,Médina neighborhood,14.6967,-17.4466,"Discover the 'open sky museum' of street art, observe shop art, and experience the vibrant local life.",A vibrant neighborhood transformed into an open-air museum with global street art.,$$,5,"street art,urban exploration,culture",https://pixabay.com/get/g6b1f0348e60c4148ef549cb7ad2181db89d6a53021d11a6c32f43a53163ef61bb9e41184c2238967ca9c003cffcb933bc7d15c48f3b8b0051a57697998fbe2a6_640.jpg
Kigali,,Rwanda,Inema Arts Center & Niyo Arts Gallery,-1.944,30.07,"Explore contemporary Rwandan art, meet local artists, and support community art initiatives.","Hubs for contemporary Rwandan art, supporting local artists and community projects.",$$,5,"art,galleries,culture",https://pixabay.com/get/g0e2f096b73887b529e59fbedf0d14b66a37e2eb5e9747729dc001a1cacad29ed66c20b6c399d9970f1961ef0ffd022c4648496a508c8035cb69d6db67b8405f5_640.jpg
Johannesburg,,South Africa,Maboneng Precinct,-26.217,28.057,"Wander through this urban renewal hub, discovering art galleries, boutiques, cafes, and vibrant street art.","A revitalized urban neighborhood known for its art, design, and creative energy.",$$$,6,"urban renewal,art,shopping",https://pixabay.com/get/g520f48e865518aba319ead484cca42c3928fdc70906b041b878709b3809cc204c8dbca28c9fa659f67f352ff44681b55f15ca0715316f2de0992dc2c4355b2ff_640.jpg
Luanda,,Angola,Ilha de Luanda,-8.8396,13.2136,"Enjoy beachside bars and restaurants, experience local life, and explore the coastal strip.","A coastal strip known for its beaches, lively atmosphere, and entertainment options.",$$$,5,"coastal,leisure,nightlife",https://pixabay.com/get/ga2f2080c39904120367d8e81ed3352a93fdf34ec4ae4cb69f832af8986932c85c662eb9076b7eb906b213761a909508cefd01d57433285b640dcbbfaacf18b2b_640.jpg
Goma,,Democratic Republic of the Congo,Goma Crafts Market,-1.6753,29.2255,"Browse and purchase vibrant handmade crafts, beadwork, and sculptures reflecting Congolese heritage.",A bustling market showcasing local artisans and traditional Congolese crafts.,$$,4,"crafts,shopping,culture",https://pixabay.com/get/gaf02b5dfa35c5beba791d18e348948c12c1a93e8bb612b16f34ace010de6a96a62fe17528464478dadd10319515bd32c5f4195c1940e964bbd2acd12dd3c740c_640.jpg
Panama City,,Panama,Calle Uruguay,8.9781,-79.5334,"Experience the best in Panamanian clubs and after-hours partying, with a variety of bars and dance venues.",The heart of Panama City's vibrant club and after-hours scene.,$$$,7,"clubs,bars,dancing,late-night",https://pixabay.com/get/g12665d07162493a0c0362d122d7ebd45831fd4f5552c1c94edfce3f322e9db0b3061f7f6534ec58fa9bc35cff5816e8421090d750578e2d264bf828223cffd2c_640.jpg
San Jose,,Costa Rica,Castro's Bar & Discoteca,9.9349,-84.0736,Dance the night away to vibrant salsa and merengue music in a local favorite.,A lively local favorite for salsa and merengue dancing.,$$,6,"salsa,dancing,live-music,local",https://pixabay.com/get/gdea5928b4e200cb033270558fa9b85d961d0c71cd7601ae303a728e42af2b9fdc735ccc0f3c7cec4109956bd3439f0c42a53d41b44df2863e7744acc350d4de0_640.jpg
Antigua Guatemala,,Guatemala,Las Vibras de la Casbah,14.5615,-90.7337,Enjoy an energetic atmosphere with diverse music genres and dance the night away in this multilevel nightclub.,"A vibrant, multilevel nightclub known for its energetic atmosphere.",$$$,6,"nightclub,dancing,dj,late-night",https://pixabay.com/get/gafcf9396fcccedfc2d832e72c24b08921be34c3bd4d7430811037a2227716ecf38144a23b3011bcc1c43a65ae0523d41b5adbe2dec187ab30933aba84b32bde1_640.jpg
Granada,,Nicaragua,Calle La Calzada,11.8721,-85.9614,"Stroll down this pedestrian street alive with cafes, bars, restaurants, live musicians, and street performers.",The lively heart of Granada's nightlife with street performers and bars.,$$,7,"bars,restaurants,live-music,street-performers",https://pixabay.com/get/g25f52a0344098ee11ca19946c06b4e1dac10e9a12db956fbd8fcf579b10028ed4c644108ba18a6d8d6953123075c7441daf28557eddd48487b79f2fa61e8ea21_640.jpg
