location,country,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Mount Hermon,Israel,33.3105,35.857,Skiing,"Israel's highest peak, offering skiing in winter and hiking in summer.",$$$,7,"adventure,skiing,hiking,mountains","https://source.unsplash.com/800x600/?Mount,Hermon,Israel"
Mount Lebanon,Lebanon,34.3,36.12,Hiking,Extensive mountain range with diverse trails and cedar forests.,$$,6,"adventure,hiking,mountains,nature","https://source.unsplash.com/800x600/?Mount,Lebanon,Lebanon"
Ras Al Khaimah,United Arab Emirates,25.7385,56.1286,Zip-lining,Known for the world's longest zipline and various adventure activities.,$$$,7,"adventure,zip-lining,extreme,scenic","https://source.unsplash.com/800x600/?Ras,Al,Khaimah,United,Arab,Emirates"
Kibera,Kenya,-1.3131,36.8045,"Guided tours exploring street art, local markets, and community initiatives",Vibrant and expansive urban slum with rich street art and a unique community spirit.,$,4,"urban exploration,street art,culture,community","https://source.unsplash.com/800x600/?Kibera,Kenya"
Matatu Art Scene,Kenya,-1.286389,36.817223,Ride decorated matatus (minibuses) and photograph their vibrant graffiti art,Nairobi's public transport is a rolling canvas of colorful graffiti art.,$,5,"street art,transport,culture","https://source.unsplash.com/800x600/?Matatu,Art,Scene,Kenya"
Victoria Island & Lekki,Nigeria,6.4223,3.4291,"Explore modern architecture, upscale shopping malls, and vibrant nightlife",Lagos's commercial hub with gleaming skyscrapers and bustling markets.,$$$,7,"modern architecture,shopping,nightlife","https://source.unsplash.com/800x600/?Victoria,Island,,Lekki,Nigeria"
Makoko Floating Market,Nigeria,6.4915,3.3793,"Navigate the stilt-village and market by canoe, experiencing local life",Unique stilt village and bustling water market offering a glimpse into traditional life.,$$,5,"waterfront,culture,local life","https://source.unsplash.com/800x600/?Makoko,Floating,Market,Nigeria"
Woodstock,South Africa,-33.9418,18.4722,"Discover world-class street art, design studios, and trendy boutiques","Cape Town's bohemian hub, renowned for its vibrant street art and creative scene.",$$,6,"street art,design,boutiques","https://source.unsplash.com/800x600/?Woodstock,South,Africa"
Bo-Kaap,South Africa,-33.9167,18.4172,Wander through colorful houses and learn about Cape Malay culture,Historic neighborhood with brightly painted houses and a rich cultural heritage.,$,6,"architecture,culture,history","https://source.unsplash.com/800x600/?BoKaap,South,Africa"
Central Business District (CBD),Ghana,5.55602,-0.1969,"Explore colonial architecture, bustling markets, and street food stalls","Accra's heart, blending historical architecture with vibrant street life and markets.",$,5,"colonial architecture,markets,street food","https://source.unsplash.com/800x600/?Central,Business,District,CBD,Ghana"
Artist Alliance Gallery,Ghana,5.5863,-0.2157,View contemporary African art and discover local artistic talent,"Showcasing contemporary African art, a must-visit for art enthusiasts.",$$,4,"art gallery,contemporary art,culture","https://source.unsplash.com/800x600/?Artist,Alliance,Gallery,Ghana"
Kacyiru & Kiyovu Districts,Rwanda,-1.95,30.0589,"Discover contemporary Rwandan art, design shops, and cafes","Modern Kigali districts with a burgeoning scene of art, design, and cafes.",$$,3,"contemporary art,design,cafes","https://source.unsplash.com/800x600/?Kacyiru,,Kiyovu,Districts,Rwanda"
Kigali City Market,Rwanda,-1.9445,30.0595,"Shop for local crafts, textiles, and fresh produce",Bustling market offering a wide array of local crafts and produce.,$,4,"markets,crafts,local produce","https://source.unsplash.com/800x600/?Kigali,City,Market,Rwanda"
Banff Upper Hot Springs,Canada,51.1503,-115.5565,Soaking in mineral-rich hot springs with mountain views,Canada's highest hot springs offer therapeutic soaks amidst stunning Rocky Mountain scenery.,$$,7,"hot springs,nature,mountains,relaxation","https://source.unsplash.com/800x600/?Banff,Upper,Hot,Springs,Canada"
"Sedona, Arizona",USA,34.8627,-111.7637,Spiritual and wellness retreats,Vortex energy sites and red rock landscapes for deep spiritual and healing journeys.,$$$,7,"spiritual,wellness,meditation,hiking","https://source.unsplash.com/800x600/?Sedona,Arizona,USA"
Mont-Tremblant,Canada,46.2167,-74.5999,Spa treatments and hydrotherapy,A resort town offering luxurious spas and a chance to unwind in a beautiful natural setting.,$$$,6,"spa,wellness,relaxation,nature","https://source.unsplash.com/800x600/?MontTremblant,Canada"
"Miraval Arizona Resort & Spa, Tucson",USA,32.5015,-110.9069,"Mindfulness, yoga, and meditation workshops",An all-inclusive desert retreat focused on holistic wellness and personal growth.,$$$$,6,"wellness,yoga,meditation,resort","https://source.unsplash.com/800x600/?Miraval,Arizona,Resort,,Spa,Tucson,USA"
"Scripps Inn, La Jolla",USA,32.8483,-117.2739,Ocean-view relaxation and coastal walks,Charming boutique hotel offering serene coastal vibes and easy access to La Jolla's natural beauty.,$$$,5,"coastal,relaxation,boutique,oceanview","https://source.unsplash.com/800x600/?Scripps,Inn,La,Jolla,USA"
"Omni La Costa Resort & Spa, Carlsbad",USA,33.1151,-117.2808,World-class spa treatments and golf,"A luxurious resort known for its extensive spa, golf courses, and multiple swimming pools.",$$$$,7,"spa,golf,resort,luxury","https://source.unsplash.com/800x600/?Omni,La,Costa,Resort,,Spa,Carlsbad,USA"
"Anamaya Resort, Costa Rica",Costa Rica,9.5534,-85.0452,Yoga retreats and holistic wellness,"A hilltop eco-lodge with stunning ocean views, offering yoga, detox, and spa services.",$$$,5,"yoga,wellness,eco-lodge,retreat","https://source.unsplash.com/800x600/?Anamaya,Resort,Costa,Rica,Costa,Rica"
"Spirit Ridge, Osoyoos",Canada,49.0117,-119.4574,Vineyard spa treatments and lake activities,"Desert oasis resort offering spa services, vineyard views, and relaxation by Osoyoos Lake.",$$$,4,"spa,vineyard,lake,relaxation","https://source.unsplash.com/800x600/?Spirit,Ridge,Osoyoos,Canada"
"The Springs Resort & Spa, Pagosa Springs",USA,37.2603,-107.0357,Geothermal hot spring soaking,"Resort with numerous hot spring pools, offering mineral-rich waters for ultimate relaxation.",$$$,5,"hot springs,wellness,geothermal,relaxation","https://source.unsplash.com/800x600/?The,Springs,Resort,,Spa,Pagosa,Springs,USA"
"Wilbur Hot Springs, Northern California",USA,38.9562,-122.4403,Natural hot mineral springs and nature immersion,"A clothing-optional, off-grid sanctuary with natural hot springs in a peaceful nature preserve.",$$,3,"hot springs,nature,sanctuary,wellness","https://source.unsplash.com/800x600/?Wilbur,Hot,Springs,Northern,California,USA"
Lizard Lounge,Costa Rica,9.8643,-84.0917,Dancing at a popular salsa club,Vibrant salsa club with live music and energetic atmosphere.,$$,5,"nightlife,dance,live music","https://source.unsplash.com/800x600/?Lizard,Lounge,Costa,Rica"
"Calle 5ta (Fifth Avenue), Playa del Carmen",Mexico,20.6269,-87.0739,Bar hopping and street entertainment,"Bustling pedestrian street filled with bars, clubs, and shops.",$$$,7,"nightlife,shopping,entertainment","https://source.unsplash.com/800x600/?Calle,5ta,Fifth,Avenue,Playa,del,Carmen,Mexico"
Semana Santa (Holy Week) in Antigua,Guatemala,14.5565,-90.7311,Witnessing traditional religious processions and street festivities,Historic city comes alive with solemn processions and vibrant celebrations.,$$,6,"festival,cultural,religious","https://source.unsplash.com/800x600/?Semana,Santa,Holy,Week,in,Antigua,Guatemala"
"Copacabana, Panama City",Panama,8.9772,-79.5166,Enjoying rooftop bars with ocean views,Upscale area with modern bars and stunning panoramic city and ocean vistas.,$$$$,6,"nightlife,bars,views","https://source.unsplash.com/800x600/?Copacabana,Panama,City,Panama"
Granada Cathedral and Plaza,Nicaragua,11.9306,-85.953,Evening strolls and enjoying live music in surrounding plazas,Historic plaza with live music and a lively evening atmosphere.,$,5,"culture,music,historic","https://source.unsplash.com/800x600/?Granada,Cathedral,and,Plaza,Nicaragua"
San Jose's La Sabana Park,Costa Rica,9.9349,-84.0867,Attending outdoor concerts and cultural events,Large urban park hosting various events and concerts.,$$,4,"events,outdoor,music","https://source.unsplash.com/800x600/?San,Joses,La,Sabana,Park,Costa,Rica"
Utila Cayos Cochinos,Honduras,16.1074,-86.2146,Beach bars and bonfires on remote islands,Laid-back Caribbean islands with vibrant beach bar scene.,$$,4,"nightlife,beach,islands","https://source.unsplash.com/800x600/?Utila,Cayos,Cochinos,Honduras"
Roatán (West End),Honduras,16.329,-86.5855,Scuba diving nightlife and beach bars,Popular dive destination with a lively nightlife in West End.,$$,6,"nightlife,diving,beach","https://source.unsplash.com/800x600/?Roatán,West,End,Honduras"
El Tunco Beach,El Salvador,13.574,-89.3955,Surf bars and bonfires,Bohemian surf town with a relaxed beach bar and bonfire scene.,$,5,"nightlife,surf,beach","https://source.unsplash.com/800x600/?El,Tunco,Beach,El,Salvador"
Teatro Nacional de El Salvador,El Salvador,13.693,-89.2162,Attending cultural performances and theater shows,Historic theater hosting a variety of performances and events.,$$,4,"theater,cultural,performances","https://source.unsplash.com/800x600/?Teatro,Nacional,de,El,Salvador,El,Salvador"
Galapagos Islands,Ecuador,-0.777259,-91.142578,Diving,World-renowned for unique marine life and volcanic underwater landscapes.,$$$$$,10,"diving,snorkeling,wildlife,adventure","https://source.unsplash.com/800x600/?Galapagos,Islands,Ecuador"
Fernando de Noronha,Brazil,-3.8576305,-32.4297369,Snorkeling,Pristine beaches and clear waters teeming with vibrant marine ecosystems.,$$$$,9,"snorkeling,diving,beaches,wildlife","https://source.unsplash.com/800x600/?Fernando,de,Noronha,Brazil"
Punta de Lobos,Chile,-34.39194,-72.01389,Surfing,Iconic surf break known for its powerful left-hand waves and dramatic cliffs.,$$$,8,"surfing,adventure,extreme sports","https://source.unsplash.com/800x600/?Punta,de,Lobos,Chile"
Mancora,Peru,-4.10778,-81.0475,Surfing,Consistent left-hand point break with warm waters and a lively surf town atmosphere.,$$,7,"surfing,beach,vibrant,beginner-friendly","https://source.unsplash.com/800x600/?Mancora,Peru"
Tayrona National Natural Park,Colombia,11.267,-74.05,Snorkeling,"Caribbean coast with stunning beaches, coral reefs, and diverse underwater life.",$$,8,"snorkeling,diving,hiking,nature","https://source.unsplash.com/800x600/?Tayrona,National,Natural,Park,Colombia"
Utila,Honduras,16.1,-86.9167,Diving,Affordable diving destination on the Mesoamerican Barrier Reef with abundant marine life.,$,6,"diving,budget,marine life,education","https://source.unsplash.com/800x600/?Utila,Honduras"
Amazon River (Manaus region),Brazil,-2.163106,-55.126648,Kayaking,Explore the world's largest river system amidst lush rainforest and unique wildlife.,$$,9,"kayaking,adventure,wildlife,rainforest","https://source.unsplash.com/800x600/?Amazon,River,Manaus,region,Brazil"
Patagonian Lakes District (Bariloche),Argentina,-41.1025,-71.3088,Kayaking,Paddle through stunning glacial lakes surrounded by majestic Andes mountains.,$$$,7,"kayaking,scenic,adventure,mountains","https://source.unsplash.com/800x600/?Patagonian,Lakes,District,Bariloche,Argentina"
Florianópolis (various beaches),Brazil,-27.5935,-48.5587,Surfing,Island paradise with over 50 beaches offering diverse surf conditions for all levels.,$$,8,"surfing,beach,variety,popular","https://source.unsplash.com/800x600/?Florianópolis,various,beaches,Brazil"
Salar de Uyuni,Bolivia,-20.1336,-67.4868,Kayaking (seasonal),"World's largest salt flat, offering unique surreal landscapes, especially when flooded.",$$,9,"unique,landscape,photography,adventure","https://source.unsplash.com/800x600/?Salar,de,Uyuni,Bolivia"
Castillo San Felipe del Morro,Puerto Rico,18.4704,-66.2036,"Explore the fortress and its six levels, learn about its history, and enjoy panoramic views of the Atlantic Ocean.","Historic Spanish citadel guarding San Juan's bay, a UNESCO World Heritage Site.",$$,10,"history,landmark,unesco,coastline","https://source.unsplash.com/800x600/?Castillo,San,Felipe,del,Morro,Puerto,Rico"
Dunn's River Falls,Jamaica,18.3094,-77.1311,"Climb the terraced waterfalls, relax on the beach, or enjoy water sports.",Iconic tiered waterfall cascading into the Caribbean Sea.,$$,9,"nature,adventure,waterfall,iconic","https://source.unsplash.com/800x600/?Dunns,River,Falls,Jamaica"
Brimstone Hill Fortress National Park,Saint Kitts and Nevis,17.3319,-62.81,"Tour the well-preserved fortress, visit the museum, and enjoy panoramic views.","Well-preserved 17th-century British fortress, a UNESCO World Heritage Site.",$$,8,"history,unesco,fortress,views","https://source.unsplash.com/800x600/?Brimstone,Hill,Fortress,National,Park,Saint,Kitts,and,Nevis"
Old Havana (La Habana Vieja),Cuba,23.1328,-82.3514,"Wander through cobblestone streets, admire colonial architecture, and experience vibrant street life.","Historic heart of Havana with baroque and neoclassical architecture, UNESCO site.",$$,9,"history,architecture,unesco,culture","https://source.unsplash.com/800x600/?Old,Havana,La,Habana,Vieja,Cuba"
Pigeon Island National Landmark,Saint Lucia,14.0694,-60.9494,"Hike to historic ruins, enjoy scenic views, and relax on the beaches.","Former military base and island, now a historic park with ruins and beaches.",$$,7,"history,nature,views,beach","https://source.unsplash.com/800x600/?Pigeon,Island,National,Landmark,Saint,Lucia"
Shirley Heights,Antigua and Barbuda,17.004,-61.82,"Enjoy panoramic views of English and Falmouth Harbours, especially at sunset, and experience Sunday parties.","Restored military lookout with spectacular views, famous for sunset parties.",$$$,8,"views,history,party,sunset","https://source.unsplash.com/800x600/?Shirley,Heights,Antigua,and,Barbuda"
Fort Charlotte,Saint Vincent and the Grenadines,13.1619,-61.2381,Explore the colonial fort and enjoy panoramic views of Kingstown and the Grenadines.,"British colonial fort overlooking Kingstown harbour, offering historical insights and views.",$$,6,"history,fortress,views,colonial","https://source.unsplash.com/800x600/?Fort,Charlotte,Saint,Vincent,and,the,Grenadines"
Ponce Historic Zone,Puerto Rico,18.0116,-66.614,"Stroll through the historic district, admire unique architecture, and visit Plaza Las Delicias.",Historic district showcasing distinctive Ponce Creole and Neoclásico Isabelino architecture.,$$,6,"architecture,history,culture,city","https://source.unsplash.com/800x600/?Ponce,Historic,Zone,Puerto,Rico"
Queen's Park Savannah,Trinidad and Tobago,10.6796,-61.5244,"Enjoy the large open space for recreation, visit surrounding historical buildings, and sample local street food.","Port of Spain's largest open space, surrounded by historical mansions and cultural sites.",$,7,"park,history,culture,recreation","https://source.unsplash.com/800x600/?Queens,Park,Savannah,Trinidad,and,Tobago"
Christ of the Deep,Grenada,12.0513,-61.7575,View the statue commemorating local heroism and enjoy the Carenage waterfront.,Bronze statue at Carenage harbor honoring Grenadians' rescue efforts during the Bianca C disaster.,$,5,"monument,history,gratitude,coastline","https://source.unsplash.com/800x600/?Christ,of,the,Deep,Grenada"
Mount Yasur,Vanuatu,-19.531389,169.419722,Volcano hiking and crater rim exploration,Hike to the rim of an active volcano for a unique and powerful experience.,$$$,6,"adventure,hiking,volcano,unique","https://source.unsplash.com/800x600/?Mount,Yasur,Vanuatu"
Mount Agung,Indonesia,-8.341111,115.519444,Challenging volcano trekking,Trek to the summit of Bali's highest and most sacred volcano for breathtaking sunrise views.,$$,7,"adventure,hiking,volcano,challenging","https://source.unsplash.com/800x600/?Mount,Agung,Indonesia"
Sleeping Giant Zipline,Fiji,-17.723611,177.500278,Zip-lining through rainforest,Soar through lush jungle canopy with spectacular views and zip over rivers and waterfalls.,$$,5,"adventure,zip-lining,nature,family-friendly","https://source.unsplash.com/800x600/?Sleeping,Giant,Zipline,Fiji"
Mount Pahia,French Polynesia (Bora Bora),-16.521111,-151.752778,Challenging mountain hike with scrambling,A steep and rewarding climb offering stunning panoramic views of Bora Bora's lagoon.,$$$,6,"adventure,hiking,climbing,views","https://source.unsplash.com/800x600/?Mount,Pahia,French,Polynesia,Bora,Bora"
Moorea volcanic peaks,French Polynesia (Moorea),-17.533333,-149.833333,Hiking volcanic trails,Explore the dramatic volcanic interior of Moorea with trails offering stunning island vistas.,$$,6,"adventure,hiking,nature,scenic","https://source.unsplash.com/800x600/?Moorea,volcanic,peaks,French,Polynesia,Moorea"
To Sua Ocean Trench,Samoa,-13.9925,-171.441389,Swimming and cliff jumping,Descend into a stunning natural ocean swimming hole via a ladder for a refreshing dip.,$,5,"adventure,swimming,unique,nature","https://source.unsplash.com/800x600/?To,Sua,Ocean,Trench,Samoa"
Kokoda Track,Papua New Guinea,-9.416667,148.05,Multi-day jungle trekking,A challenging trek through rugged terrain with significant historical and cultural importance.,$$$$,7,"adventure,trekking,historical,challenging","https://source.unsplash.com/800x600/?Kokoda,Track,Papua,New,Guinea"
Queenstown,New Zealand,-45.031111,168.759167,Zip-lining and canyoning,The adventure capital offers numerous zip-line courses with stunning alpine and lake views.,$$$,9,"adventure,zip-lining,extreme,scenic","https://source.unsplash.com/800x600/?Queenstown,New,Zealand"
Hawaiʻi Volcanoes National Park,United States (Hawaii),19.371472,-155.21595,Volcanic landscape hiking,"Hike across lava fields, through craters, and explore unique volcanic terrain and lava tubes.",$$,8,"adventure,hiking,volcano,unique","https://source.unsplash.com/800x600/?Hawaiʻi,Volcanoes,National,Park,United,States,Hawaii"
Cross Island Trek (The Needle),Cook Islands (Rarotonga),-21.218611,-159.780278,Cross-island hiking,"A challenging hike across Rarotonga's interior, offering panoramic views of the island and lagoon.",$$,5,"adventure,hiking,scenic,challenging","https://source.unsplash.com/800x600/?Cross,Island,Trek,The,Needle,Cook,Islands,Rarotonga"
Chinatown Complex Food Centre,Singapore,1.2839,103.8444,"Explore diverse street food stalls, from local delicacies to international flavors.","Singapore's largest hawker center, offering a vast array of affordable and authentic dishes.",$,8,"street food,hawker center,local cuisine,budget-friendly","https://source.unsplash.com/800x600/?Chinatown,Complex,Food,Centre,Singapore"
Jalan Alor Food Street,Malaysia,3.1404,101.7123,Dine at numerous open-air stalls serving a wide variety of Malaysian street food.,Kuala Lumpur's famous 'food street' offering a vibrant night-time culinary experience.,$$,8,"street food,night market,malaysian cuisine,dining","https://source.unsplash.com/800x600/?Jalan,Alor,Food,Street,Malaysia"
Old Market (Psar Chas),Cambodia,13.3567,103.8418,Sample traditional Khmer street food and local delicacies.,A bustling market in Siem Reap offering authentic Cambodian street food.,$,6,"street food,local market,khmer cuisine,authentic","https://source.unsplash.com/800x600/?Old,Market,Psar,Chas,Cambodia"
Hoi An Ancient Town,Vietnam,15.8801,108.3384,Take a street food tour to sample local specialties like Cao Lau and Banh Mi.,Charming ancient town known for its distinct regional Vietnamese cuisine.,$$,8,"street food,food tour,vietnamese cuisine,historic",https://images.unsplash.com/photo-1608354802819-c759d54e625c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4Mjg3NzR8MHwxfHNlYXJjaHwxfHxIb2klMjBBbiUyMEFuY2llbnQlMjBUb3duJTIwVmlldG5hbXxlbnwwfHx8fDE3NjcxMDgwNTh8MA&ixlib=rb-4.1.0&q=80&w=1080
